code_INE,move,type,name,source,value
32,Out-migration,Internal migration,Ourense,EM,0.7084
32,In-migration,International migration,Ourense,EM,0.6959
32,In-migration,Internal migration,Ourense,EM,0.7383
33,Out-migration,International migration,Asturias,EM,0.5654
33,Out-migration,Internal migration,Asturias,EM,0.7158
33,In-migration,International migration,Asturias,EM,0.6446
33,In-migration,Internal migration,Asturias,EM,0.7697
34,Out-migration,International migration,Palencia,EM,0.6597
34,Out-migration,Internal migration,Palencia,EM,0.7501
34,In-migration,International migration,Palencia,EM,0.6406
34,In-migration,Internal migration,Palencia,EM,0.784
35,Out-migration,International migration,Las Palmas,EM,0.4896
35,Out-migration,Internal migration,Las Palmas,EM,0.7323
35,In-migration,International migration,Las Palmas,EM,0.5642
35,In-migration,Internal migration,Las Palmas,EM,0.7143
36,Out-migration,International migration,Pontevedra,EM,0.4628
36,Out-migration,Internal migration,Pontevedra,EM,0.7217
36,In-migration,International migration,Pontevedra,EM,0.6345
36,In-migration,Internal migration,Pontevedra,EM,0.787
37,Out-migration,International migration,Salamanca,EM,0.5977
37,Out-migration,Internal migration,Salamanca,EM,0.7546
37,In-migration,International migration,Salamanca,EM,0.6722
37,In-migration,Internal migration,Salamanca,EM,0.7998
38,Out-migration,International migration,Tenerife,EM,0.3463
38,Out-migration,Internal migration,Tenerife,EM,0.6636
38,In-migration,International migration,Tenerife,EM,0.6042
38,In-migration,Internal migration,Tenerife,EM,0.6977
39,Out-migration,International migration,Cantabria,EM,0.5674
39,Out-migration,Internal migration,Cantabria,EM,0.6775
39,In-migration,International migration,Cantabria,EM,0.6482
39,In-migration,Internal migration,Cantabria,EM,0.7605
40,Out-migration,International migration,Segovia,EM,0.7763
40,Out-migration,Internal migration,Segovia,EM,0.7278
40,In-migration,International migration,Segovia,EM,0.5793
40,In-migration,Internal migration,Segovia,EM,0.8125
41,Out-migration,International migration,Sevilla,EM,0.5342
41,Out-migration,Internal migration,Sevilla,EM,0.785
41,In-migration,International migration,Sevilla,EM,0.5651
41,In-migration,Internal migration,Sevilla,EM,0.8181
42,Out-migration,International migration,Soria,EM,0.545
42,Out-migration,Internal migration,Soria,EM,0.6559
42,In-migration,International migration,Soria,EM,0.6309
42,In-migration,Internal migration,Soria,EM,0.7487
43,Out-migration,International migration,Tarragona,EM,0.7281
43,Out-migration,Internal migration,Tarragona,EM,0.7209
43,In-migration,International migration,Tarragona,EM,0.562
43,In-migration,Internal migration,Tarragona,EM,0.762
44,Out-migration,International migration,Teruel,EM,0.5469
44,Out-migration,Internal migration,Teruel,EM,0.7534
44,In-migration,International migration,Teruel,EM,0.6368
44,In-migration,Internal migration,Teruel,EM,0.7705
45,Out-migration,International migration,Toledo,EM,0.4913
45,Out-migration,Internal migration,Toledo,EM,0.703
45,In-migration,International migration,Toledo,EM,0.4882
45,In-migration,Internal migration,Toledo,EM,0.7309
46,Out-migration,International migration,Valencia,EM,0.4322
46,Out-migration,Internal migration,Valencia,EM,0.7043
46,In-migration,International migration,Valencia,EM,0.6231
46,In-migration,Internal migration,Valencia,EM,0.7069
47,Out-migration,International migration,Valladolid,EM,0.5715
47,Out-migration,Internal migration,Valladolid,EM,0.7514
47,In-migration,International migration,Valladolid,EM,0.6208
47,In-migration,Internal migration,Valladolid,EM,0.7701
48,Out-migration,International migration,Bizkaia,EM,0.5536
48,Out-migration,Internal migration,Bizkaia,EM,0.7689
48,In-migration,International migration,Bizkaia,EM,0.5801
48,In-migration,Internal migration,Bizkaia,EM,0.6737
49,Out-migration,International migration,Zamora,EM,0.5445
49,Out-migration,Internal migration,Zamora,EM,0.7891
49,In-migration,International migration,Zamora,EM,0.537
49,In-migration,Internal migration,Zamora,EM,0.8228
50,Out-migration,International migration,Zaragoza,EM,1.3597
50,Out-migration,Internal migration,Zaragoza,EM,0.7511
50,In-migration,International migration,Zaragoza,EM,0.558
50,In-migration,Internal migration,Zaragoza,EM,0.7304
