code_INE,move,type,name,source,value
36,Out-migration,Internal migration,Pontevedra,EM,38.5665529
36,In-migration,International migration,Pontevedra,EM,57.60579489
36,In-migration,Internal migration,Pontevedra,EM,27.06099815
37,Out-migration,International migration,Salamanca,EM,67.31843575
37,Out-migration,Internal migration,Salamanca,EM,32.5179145
37,In-migration,International migration,Salamanca,EM,48.76130554
37,In-migration,Internal migration,Salamanca,EM,25.02598753
38,Out-migration,International migration,Tenerife,EM,188.7631495
38,Out-migration,Internal migration,Tenerife,EM,50.69316081
38,In-migration,International migration,Tenerife,EM,65.51654696
38,In-migration,Internal migration,Tenerife,EM,43.33734808
39,Out-migration,International migration,Cantabria,EM,76.25231911
39,Out-migration,Internal migration,Cantabria,EM,47.59176365
39,In-migration,International migration,Cantabria,EM,54.27614632
39,In-migration,Internal migration,Cantabria,EM,31.4995925
40,Out-migration,International migration,Segovia,EM,28.82305845
40,Out-migration,Internal migration,Segovia,EM,37.39130435
40,In-migration,International migration,Segovia,EM,72.61809448
40,In-migration,Internal migration,Segovia,EM,23.07921382
41,Out-migration,International migration,Sevilla,EM,87.18787879
41,Out-migration,Internal migration,Sevilla,EM,27.39367063
41,In-migration,International migration,Sevilla,EM,76.96251202
41,In-migration,Internal migration,Sevilla,EM,22.22795588
42,Out-migration,International migration,Soria,EM,83.50305499
42,Out-migration,Internal migration,Soria,EM,52.46455098
42,In-migration,International migration,Soria,EM,58.51581509
42,In-migration,Internal migration,Soria,EM,33.57282822
43,Out-migration,International migration,Tarragona,EM,37.34721983
43,Out-migration,Internal migration,Tarragona,EM,38.70907038
43,In-migration,International migration,Tarragona,EM,77.9472693
43,In-migration,Internal migration,Tarragona,EM,31.24110263
44,Out-migration,International migration,Teruel,EM,82.84883721
44,Out-migration,Internal migration,Teruel,EM,32.72802311
44,In-migration,International migration,Teruel,EM,57.04035874
44,In-migration,Internal migration,Teruel,EM,29.78235968
45,Out-migration,International migration,Toledo,EM,103.5471331
45,Out-migration,Internal migration,Toledo,EM,42.25361964
45,In-migration,International migration,Toledo,EM,104.8381163
45,In-migration,Internal migration,Toledo,EM,36.82334596
46,Out-migration,International migration,Valencia,EM,131.3671374
46,Out-migration,Internal migration,Valencia,EM,41.97545027
46,In-migration,International migration,Valencia,EM,60.49107143
46,In-migration,Internal migration,Valencia,EM,41.45630612
47,Out-migration,International migration,Valladolid,EM,74.96586254
47,Out-migration,Internal migration,Valladolid,EM,33.0845307
47,In-migration,International migration,Valladolid,EM,61.08582575
47,In-migration,Internal migration,Valladolid,EM,29.85859318
48,Out-migration,International migration,Bizkaia,EM,80.62150838
48,Out-migration,Internal migration,Bizkaia,EM,30.05919534
48,In-migration,International migration,Bizkaia,EM,72.39255014
48,In-migration,Internal migration,Bizkaia,EM,48.44059406
49,Out-migration,International migration,Zamora,EM,83.66013072
49,Out-migration,Internal migration,Zamora,EM,26.72790901
49,In-migration,International migration,Zamora,EM,86.22754491
49,In-migration,Internal migration,Zamora,EM,21.54101077
50,Out-migration,International migration,Zaragoza,EM,-26.45289675
50,Out-migration,Internal migration,Zaragoza,EM,33.14409579
50,In-migration,International migration,Zaragoza,EM,79.21220127
50,In-migration,Internal migration,Zaragoza,EM,36.90333805
